,sentence,sentence_preprocessed,sentence_length,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context
238,衛生署這次實施醫院門診合理量，是對醫院門診在合理數量以內的診察費予以提高，對於超出門診合理數量部分則降低診察費；也就是說每個醫師看診人數超過某個數量時，健保局給付的診察費也隨之減少。衛生署認為這樣的作法可減少醫院擴增門診人次的誘因，提高門診就診品質。這項制度並未限制醫院門診就診人次，病人的就醫權益不受影響。,衛生署 這 次 實施 醫院 門診 合理量 是 對 醫院 門診 在 合理 數量 以內 的 診察費 予以 提高 對於 超出 門診 合理 數量 部分 則 降低 診察費 也就是說 每 個 醫師 看診 人數 超過 某 個 數量 時 健保局 給付 的 診察費 也 隨之 減少 衛生署 認為 這樣 的 作法 可 減少 醫院 擴增 門診 人次 的 誘因 提高 門診 就診 品質 這 項 制度 並 未 限制 醫院 門診 就診 人次 病人 的 就醫 權益 不 受 影響,80,"{'High': 72, 'Low': 8}","{'Unknown': 13, '第1級': 14, '第2級': 8, '第6級': 7, '第5級': 13, '第1*級': 2, '第4*級': 8, '第4級': 10, '第3*級': 1, '第3級': 3, '第7級': 1}",8,Y,Y
239,各大醫院因為健保合理門診量的實施，大部分採取：「不提高掛號費」、「不限制門診人數」、「不減少看診時間」等作法，因此沒有影響民眾的就醫權益。,各 大 醫院 因為 健保 合理 門診量 的 實施 大部分 採取 不 提高 掛號費 不 限制 門診 人數 不 減少 看診 時間 等 作法 因此 沒有 影響 民眾 的 就醫 權益,31,"{'High': 28, 'Low': 3}","{'第2級': 2, '第1級': 8, '第1*級': 1, 'Unknown': 4, '第4*級': 5, '第6級': 3, '第5級': 3, '第4級': 2, '第3*級': 1, '第3級': 2}",3,Y,Y
240,高市中學國小運動會冠軍選手可獲獎金,高市 中學 國小 運動會 冠軍 選手 可 獲 獎金,9,"{'Low': 1, 'High': 8}","{'Unknown': 1, '第3*級': 2, '第5級': 5, '第4*級': 1}",1,Y,Y
241,【記者黃德秀報導】高雄市教育局昨天修訂「體育獎助學金發給要點」，基於厚植基層實力，新要點放寬獎勵對象、刪除獎勵國際賽部分，今後高雄市籍選手參加奧運、亞運、世運或東亞運獲得前三名的選手，將專案簽請獎勵。另外，全市國小運動會及中等學校運動會獲得第一名的選手，將可獲獎金鼓勵。,記者 黃德秀 報導 高雄市 教育局 昨天 修訂 體育 獎助學金 發給 要點 基於 厚植 基層 實力 新 要點 放寬 獎勵 對象 刪除 獎勵 國際賽 部分 今後 高雄市籍 選手 參加 奧運 亞運 世運 或 東亞運 獲得 前 三 名 的 選手 將 專案 簽請 獎勵 另外 全 市 國小 運動會 及 中等 學校 運動會 獲得 第一 名 的 選手 將 可 獲 獎金 鼓勵,62,"{'High': 53, 'Low': 9}","{'第4級': 3, 'Unknown': 13, '第5級': 19, '第1級': 7, '第6級': 8, '第2級': 6, '第4*級': 2, '第3級': 2, '第2*級': 1, '第3*級': 1}",9,Y,Y
242,教育局表示，高雄市籍選手參加全國賽個人項目第一名到第六名選手都可獲獎金。新要點將在近期提報市政會議通過後實施。,教育局 表示 高雄市籍 選手 參加 全國賽 個人 項目 第一 名 到 第六 名 選手 都 可 獲 獎金 新 要點 將 在 近期 提報 市政 會議 通過 後 實施,29,"{'High': 27, 'Low': 2}","{'Unknown': 7, '第4*級': 2, '第5級': 6, '第2級': 4, '第4級': 3, '第1級': 4, '第6級': 2, '第1*級': 1}",3,Y,Y
243,小試身手,小試 身手,2,"{'Low': 1, 'High': 1}","{'Unknown': 1, '第7級': 1}",0,N,Y
244,「新年快樂！」昨天是新世紀的第一個上課天，小朋友回到學校迎接另一個新的開始，連太陽公公也露出笑臉。下課了，趕緊到操場的體能訓練場試試身手，真是美好的一天。,新年 快樂 昨天 是 新 世紀 的 第一 個 上課 天 小朋友 回到 學校 迎接 另 一 個 新 的 開始 連 太陽 公公 也 露出 笑臉 下課 了 趕緊 到 操場 的 體能 訓練場 試試 身手 真是 美好 的 一 天,42,"{'High': 39, 'Low': 3}","{'第2*級': 1, '第1*級': 3, '第1級': 17, '第4級': 1, '第2級': 4, '第5級': 3, '第3級': 2, '第3*級': 1, 'Unknown': 6, '第4*級': 3, '第7級': 1}",2,Y,Y
245,玩磁鐵遊戲北市安排精采研習,玩 磁鐵 遊戲 北市 安排 精采 研習,7,"{'High': 6, 'Low': 1}","{'第1*級': 1, 'Unknown': 2, '第3級': 1, '第4級': 1, '第5級': 1, '第7級': 1}",0,Y,Y
246,【記者劉偉瑩報導】不管是玩釣魚遊戲，或是使用磁鐵做的留言板，小朋友是不是覺得同極相斥、異極相吸的磁鐵十分神奇呢？,記者 劉偉瑩 報導 不管 是 玩 釣魚 遊戲 或是 使用 磁鐵 做 的 留言板 小朋友 是 不 是 覺得 同 極 相斥 異 極 相吸 的 磁鐵 十分 神奇 呢,30,"{'High': 24, 'Low': 6}","{'第4級': 3, 'Unknown': 8, '第5級': 2, '第3*級': 3, '第1級': 8, '第1*級': 2, '第4*級': 1, '第3級': 1, '第2級': 2}",3,Y,Y
247,臺北市立兒童育樂中心「明日世界」兒童科學館這個月起，舉辦一系列科學研習活動，以「電與磁」為主題，為小朋友揭開磁鐵的祕密。活動從六日上午八點起，在該中心「明日世界」太空劇場會議室接受報名，具有好奇心、喜歡追根究底的國小三到六年級小朋友都可以參加。,臺北 市立 兒童 育樂 中心 明日 世界 兒童 科學館 這 個 月 起 舉辦 一 系列 科學 研習 活動 以 電 與 磁 為 主題 為 小朋友 揭開 磁鐵 的 祕密 活動 從 六日 上午 八點 起 在 該 中心 明日 世界 太空 劇場 會議室 接受 報名 具有 好奇心 喜歡 追根究底 的 國小 三 到 六年級 小朋友 都 可以 參加,60,"{'High': 53, 'Low': 7}","{'Unknown': 13, '第4級': 7, '第3級': 2, '第5級': 6, '第2級': 8, '第1級': 12, '第3*級': 3, '第6級': 4, '第7級': 1, '第4*級': 2, '第1*級': 2}",7,Y,Y
248,這項研習活動為小朋友安排了磁鐵的遊戲、磁鐵的用處、電磁鐵比賽、用電推動的玩具以及發電機與電動機等有趣、實用的內容。從本月三十日到三月底，共舉辦十二個場次，時間是星期六下午。電洽（○二）二五九三二二一一轉二四四。,這 項 研習 活動 為 小朋友 安排 了 磁鐵 的 遊戲 磁鐵 的 用處 電磁鐵 比賽 用 電 推動 的 玩具 以及 發電機 與 電動機 等 有趣 實用 的 內容 從 本 月 三十日 到 三月 底 共 舉辦 十二 個 場次 時間 是 星期六 下午 電洽 二 二五九三二二一一 轉 二四四,51,"{'High': 41, 'Low': 10}","{'第1級': 14, '第5級': 3, '第7級': 1, '第2級': 4, 'Unknown': 15, '第4級': 5, '第3級': 2, '第4*級': 3, '第3*級': 2, '第1*級': 2}",8,Y,Y
249,樂翻天,樂翻天,1,{'Low': 1},{'Unknown': 1},1,N,Y
250,臺北市東門國小幼稚園最近完成整建工程，大球池和綠意盎然的庭院讓校園展現新風貌。在色彩繽紛的球池裡嬉笑遊戲，小朋友簡直樂翻天。鋪上草皮的小庭院則擺置大小不同的石頭，三五好友在樹下休憩划拳，彷彿成了孩子的祕密花園呢！,臺北市 東門 國小 幼稚園 最近 完成 整建 工程 大 球池 和 綠意盎然 的 庭院 讓 校園 展現 新 風貌 在 色彩 繽紛 的 球池 裡 嬉笑 遊戲 小朋友 簡直 樂翻天 鋪上 草皮 的 小 庭院 則 擺置 大小 不同 的 石頭 三五 好友 在 樹 下 休憩 划拳 彷彿 成 了 孩子 的 祕密 花園 呢,56,"{'High': 40, 'Low': 16}","{'Unknown': 15, '第3*級': 1, '第4*級': 5, '第2級': 4, '第5級': 5, '第1級': 10, '第3級': 3, '第6級': 2, '第7級': 4, '第1*級': 4, '第4級': 3}",5,Y,Y
251,「魔法熱」將進駐電視卡通頻道麻煩巧克力動畫影片六日播出,魔法熱 將 進駐 電視 卡通 頻道 麻煩 巧克力 動畫 影片 六日 播出,12,"{'Low': 1, 'High': 11}","{'Unknown': 3, '第5級': 2, '第6級': 2, '第1*級': 1, '第4級': 2, '第2*級': 1, '第3級': 1}",2,Y,Y
252,【記者王靖媛報導】英國作家羅琳以「哈利波特」系列叢書，在全球掀起的「魔法熱」方興未艾，有線電視「卡通頻道」也趁勢在六日推出全新的魔法卡通「麻煩巧克力」，讓小朋友能夠沉浸在魔法世界，享受變魔法的樂趣。,記者 王靖媛 報導 英國 作家 羅琳 以 哈利波特 系列 叢書 在 全球 掀起 的 魔法熱 方興未艾 有線電視 卡通 頻道 也 趁勢 在 六日 推出 全新 的 魔法 卡通 麻煩 巧克力 讓 小朋友 能夠 沉浸 在 魔法 世界 享受 變 魔法 的 樂趣,42,"{'High': 31, 'Low': 11}","{'第4級': 6, 'Unknown': 10, '第5級': 3, '第1級': 5, '第6級': 7, '第1*級': 3, '第7級': 1, '第2*級': 1, '第3級': 1, '第2級': 4, '第4*級': 1}",7,Y,Y
253,這部「麻煩巧克力」是卡通頻道從日本購買的動畫影片，故事改編自熱門廣播劇，敘述日本的一個神奇大學城，城裡的角色個個與眾不同，他們都以修練魔法，幫助別人為畢生的職志，但可惜的是每次都是事與願違，彆腳的法術總帶來了一連串的麻煩與笑話。,這 部 麻煩 巧克力 是 卡通 頻道 從 日本 購買 的 動畫 影片 故事 改編 自 熱門 廣播劇 敘述 日本 的 一 個 神奇 大學城 城 裡 的 角色 個個 與眾不同 他們 都 以 修練 魔法 幫助 別人 為 畢生 的 職志 但 可惜 的 是 每 次 都 是 事與願違 彆腳 的 法術 總 帶來 了 一連串 的 麻煩 與 笑話,62,"{'High': 52, 'Low': 10}","{'第1級': 18, '第2級': 7, '第2*級': 2, '第3級': 2, '第4級': 4, '第6級': 5, '第1*級': 3, '第5級': 6, 'Unknown': 7, '第4*級': 3, '第7級': 3, '第3*級': 2}",6,Y,Y
254,這部「麻煩巧克力」動畫六日起，每週六、日早上八點半及下午五點半播出，歡迎觀賞有趣的魔法卡通影片。,這 部 麻煩 巧克力 動畫 六日 起 每 週六 日 早上 八點半 及 下午 五點半 播出 歡迎 觀賞 有趣 的 魔法 卡通 影片,23,"{'High': 20, 'Low': 3}","{'第1級': 5, '第2級': 2, '第2*級': 1, '第3級': 2, '第5級': 3, 'Unknown': 5, '第3*級': 1, '第1*級': 1, '第6級': 1, '第4級': 2}",3,Y,Y
255,利用寒假觀測星象感受星空之美北市國小少年天文營歡迎報名,利用 寒假 觀測 星象 感受 星空 之 美 北市 國小 少年 天文營 歡迎 報名,14,"{'High': 11, 'Low': 3}","{'第3*級': 2, '第3級': 1, '第7級': 2, 'Unknown': 3, '第5級': 2, '第1*級': 1, '第4*級': 1, '第2級': 1, '第4級': 1}",1,Y,Y
256,【記者陳昭玲報導】寒假期間，臺北市立天文科學教育館將開辦寒假國小少年天文營，以及墾丁、玉山野外觀測天文營，歡迎國小高年級小朋友報名參加。,記者 陳昭玲 報導 寒假 期間 臺北 市立 天文 科學 教育館 將 開辦 寒假 國小 少年 天文營 以及 墾丁 玉山 野外 觀測 天文營 歡迎 國小 高年級 小朋友 報名 參加,28,"{'High': 23, 'Low': 5}","{'第4級': 3, 'Unknown': 9, '第5級': 3, '第3級': 2, '第4*級': 2, '第6級': 3, '第3*級': 2, '第7級': 1, '第2級': 3}",6,Y,Y
257,天文館表示，這項專門為國小高年級小朋友設計的寒假國小少年天文營，預定二月五日和八日各舉行一個梯次，每梯次三天，活動將利用天文館的設施和人員，將天文理論和實際觀測星象合而為一，讓小朋友認識並了解天文的奧祕。,天文館 表示 這 項 專門 為 國小 高年級 小朋友 設計 的 寒假 國小 少年 天文營 預定 二月 五日 和 八日 各 舉行 一 個 梯次 每 梯次 三 天 活動 將 利用 天文館 的 設施 和 人員 將 天文 理論 和 實際 觀測 星象 合而為一 讓 小朋友 認識 並 了解 天文 的 奧祕,53,"{'Low': 7, 'High': 46}","{'Unknown': 14, '第4*級': 6, '第1級': 8, '第5級': 6, '第3*級': 4, '第2級': 6, '第3級': 1, '第4級': 1, '第1*級': 1, '第6級': 4, '第7級': 2}",7,Y,Y
258,墾丁、玉山野外觀測天文營分別在三十日和二月十三日各舉行三天，提供國小高年級小朋友和國中生，到戶外學習天文和生態的機會，活動將在室內講課，並實際到野外認識生態環境，同時在夜晚觀賞無光害影響的星空，感受星空之美。,墾丁 玉山 野外 觀測 天文營 分別 在 三十日 和 二月 十三日 各 舉行 三 天 提供 國小 高年級 小朋友 和 國中生 到 戶外 學習 天文 和 生態 的 機會 活動 將 在 室 內 講課 並 實際 到 野外 認識 生態環境 同時 在 夜晚 觀賞 無 光害 影響 的 星空 感受 星空 之 美,54,"{'High': 46, 'Low': 8}","{'Unknown': 15, '第6級': 3, '第7級': 3, '第4*級': 5, '第1*級': 4, '第2級': 6, '第4級': 1, '第1級': 6, '第3*級': 3, '第5級': 6, '第3級': 2}",7,Y,Y
259,這兩項營隊活動定七日上午八點半起接受報名，洽詢電話是（○二）二八三一四五五一轉二○二。,這 兩 項 營隊 活動 定 七日 上午 八點半 起 接受 報名 洽詢 電話 是 二 二八三一四五五一 轉 二二,19,"{'High': 15, 'Low': 4}","{'第1級': 6, '第5級': 1, 'Unknown': 8, '第2級': 1, '第3*級': 1, '第4級': 2}",2,Y,Y
260,為藝術與人文播種朱銘美術館辦營隊,為 藝術 與 人文 播種 朱銘 美術館 辦 營隊,9,"{'High': 6, 'Low': 3}","{'Unknown': 3, '第4級': 1, '第4*級': 1, '第6級': 2, '第7級': 1, '第3*級': 1}",1,Y,Y
261,【記者王靖媛報導】為協助小朋友適應即將實施的九年一貫教育的「藝術與人文」項目，朱銘美術館二月將舉辦「二○○一冬令藝術種子營」。,記者 王靖媛 報導 為 協助 小朋友 適應 即將 實施 的 九 年 一貫 教育 的 藝術 與 人文 項目 朱銘 美術館 二月 將 舉辦 二一 冬令 藝術 種子營,28,"{'High': 23, 'Low': 5}","{'第4級': 4, 'Unknown': 7, '第5級': 3, '第4*級': 3, '第2級': 1, '第6級': 5, '第1級': 4, '第3級': 1}",4,Y,Y
262,「二○○一冬令藝術種子營」以朱銘美術館豐富的自然、人文資源為素材，讓小朋友動手動腦，並從自己的肢體找靈感。,二一 冬令 藝術 種子營 以 朱銘 美術館 豐富 的 自然 人文 資源 為 素材 讓 小朋友 動手 動腦 並 從 自己 的 肢體 找 靈感,25,"{'Low': 5, 'High': 20}","{'Unknown': 6, '第4級': 3, '第5級': 4, '第6級': 3, '第1級': 3, '第3*級': 1, '第2級': 2, '第4*級': 1, '第1*級': 2}",3,Y,Y
263,這項活動針對國小三到六年級小朋友設計，舉辦時間是二月一日到十六日，共五梯次，每梯次共兩天。即日起到十五日接受報名。洽詢電話是：（○二）二四九八九九四○。,這 項 活動 針對 國小 三 到 六年級 小朋友 設計 舉辦 時間 是 二月 一日 到 十六日 共 五 梯次 每 梯次 共 兩 天 即日 起 到 十五日 接受 報名 洽詢 電話 是 二 二四九八九九四,36,"{'High': 35, 'Low': 1}","{'第1級': 13, '第5級': 1, '第2級': 2, '第6級': 1, '第3*級': 2, 'Unknown': 10, '第4*級': 1, '第4級': 3, '第1*級': 3}",5,Y,Y
264,精神科醫師走入北縣校園,精神科 醫師 走入 北縣 校園,5,{'High': 5},"{'Unknown': 3, '第1級': 1, '第3級': 1}",1,Y,Y
265,【記者楊昭瑾報導】臺北縣教育局昨天表示，九十年度起，將整合精神科醫生到校服務，預估全縣約有一千多名有嚴重情緒障礙的學生，將可獲得醫師協助，教師也可同步獲得諮詢支援。,記者 楊昭瑾 報導 臺北縣 教育局 昨天 表示 九十年度 起 將 整合 精神科 醫生 到校 服務 預估 全 縣 約 有 一千多 名 有 嚴重 情緒 障礙 的 學生 將 可 獲得 醫師 協助 教師 也 可 同步 獲得 諮詢 支援,40,"{'High': 36, 'Low': 4}","{'第4級': 2, 'Unknown': 7, '第5級': 9, '第1級': 8, '第4*級': 4, '第3*級': 3, '第6級': 4, '第3級': 1, '第2級': 2}",6,Y,Y
266,教育局特教課長曾慧媚表示，對於有嚴重情緒障礙的學生，可透過藥物、個案管理、生活輔導、社交技巧訓練、心理治療及諮商，改善焦慮、憂鬱、幻想、躁動、畏縮等先天或後天環境引發的不適應行為。,教育局 特教課長 曾慧媚 表示 對於 有 嚴重 情緒 障礙 的 學生 可 透過 藥物 個案 管理 生活 輔導 社交 技巧 訓練 心理治療 及 諮商 改善 焦慮 憂鬱 幻想 躁動 畏縮 等 先天 或 後天 環境 引發 的 不 適應 行為,40,"{'High': 35, 'Low': 5}","{'Unknown': 5, '第4*級': 6, '第5級': 13, '第1級': 5, '第3*級': 2, '第6級': 2, '第3級': 3, '第4級': 1, '第7級': 2, '第1*級': 1}",4,Y,Y
267,曾慧媚說，一月起，臺北縣將提撥八百多萬元經費，並整合臺灣北部地區心理輔導治療人力，包括精神科醫生、心理治療師、社工等專業人員，為北縣身心障礙學生服務。,曾慧媚 說 一月 起 臺北縣 將 提撥 八百多萬 元 經費 並 整合 臺灣 北部 地區 心理 輔導 治療 人力 包括 精神科 醫生 心理治療師 社工 等 專業 人員 為 北縣 身心 障礙 學生 服務,33,"{'Low': 6, 'High': 27}","{'Unknown': 9, '第1級': 6, '第3*級': 3, '第5級': 9, '第4*級': 1, '第6級': 1, '第2*級': 1, '第4級': 2, '第3級': 1}",5,Y,Y
268,教育局並在碧華、中正、思賢、積穗、樹林、汐止國小，及中和、三峽、淡水、板橋國中，設立專業治療服務中心。各校可評估校內身心障礙學生的需要，就近向這十校申請，各區中心學校會安排專業人員到校服務。申請治療對象為就讀北縣所屬的幼稚園及中小學生。,教育局 並 在 碧華 中正 思賢 積穗 樹林 汐止 國小 及 中和 三峽 淡水 板橋 國中 設立 專業 治療 服務 中心 各 校 可 評估 校 內 身心 障礙 學生 的 需要 就近 向 這 十 校 申請 各 區 中心 學校 會 安排 專業 人員 到校 服務 申請 治療 對象 為 就讀 北縣 所屬 的 幼稚園 及 中小學生,59,"{'High': 51, 'Low': 8}","{'Unknown': 17, '第4*級': 3, '第1*級': 2, '第5級': 11, '第3*級': 1, '第7級': 1, '第4級': 8, '第3級': 5, '第2級': 4, '第1級': 6, '第6級': 1}",3,Y,Y
269,北市鼓勵市民大掃除過個乾淨的年除夕前兩天免用專用垃圾袋,北市 鼓勵 市民 大掃除 過 個 乾淨 的 年 除夕 前 兩 天 免 用 專用 垃圾袋,17,"{'High': 14, 'Low': 3}","{'Unknown': 3, '第4級': 1, '第5級': 2, '第1*級': 1, '第1級': 7, '第2級': 1, '第3*級': 1, '第6級': 1}",2,Y,Y
270,【記者林淑美報導】臺北市環保局昨天表示，二十一日和二十二日農曆除夕前兩天，民眾將可免用專用垃圾袋，鼓勵民眾儘量清除家中垃圾，除舊布新，過個乾淨清潔的農曆春節。,記者 林淑美 報導 臺北市 環保局 昨天 表示 二十一日 和 二十二日 農曆 除夕 前 兩 天 民眾 將 可 免 用 專用 垃圾袋 鼓勵 民眾 儘量 清除 家 中 垃圾 除舊布新 過 個 乾淨 清潔 的 農曆 春節,37,"{'High': 33, 'Low': 4}","{'第4級': 4, 'Unknown': 9, '第5級': 5, '第1級': 8, '第4*級': 4, '第3*級': 1, '第6級': 2, '第3級': 2, '第1*級': 1, '第2級': 1}",7,Y,Y
271,不過，除夕當天則恢復專用垃圾袋措施，清潔人員也將從當天下午一點到午夜十二點加班清運垃圾，讓民眾乾淨過新年。週五垃圾清運恢復正常。,不過 除夕 當天 則 恢復 專用 垃圾袋 措施 清潔 人員 也 將 從 當天 下午 一點 到 午夜 十二點 加班 清運 垃圾 讓 民眾 乾淨 過 新年 週五 垃圾 清運 恢復 正常,32,"{'High': 26, 'Low': 6}","{'第2級': 3, '第3*級': 3, '第4*級': 3, '第5級': 5, '第4級': 2, '第6級': 2, 'Unknown': 5, '第1級': 3, '第1*級': 3, '第3級': 2, '第2*級': 1}",2,Y,N
272,合理門診量開辦醫院仍見長龍,合理 門診量 開辦 醫院 仍 見 長龍,7,"{'High': 5, 'Low': 2}","{'第4*級': 1, 'Unknown': 2, '第6級': 1, '第2級': 1, '第4級': 1, '第1*級': 1}",1,Y,Y
273,【記者夏成淵報導】昨天是開年後各大醫院第一天實施合理門診量，民眾對於這項新措施，大多數是「一問三不知」，想給「名醫」看診的，依舊清晨四、五點就在掛號處前大排長龍，雖然醫師們都表示暫時不會因為合理門診量而限制病人加號，但是醫院門診照舊一診難求。,記者 夏成淵 報導 昨天 是 開年 後 各 大 醫院 第一 天 實施 合理 門診量 民眾 對於 這 項 新 措施 大多數 是 一 問 三 不 知 想 給 名醫 看診 的 依舊 清晨 四 五點 就 在 掛號處 前 大排長龍 雖然 醫師 們 都 表示 暫時 不會 因為 合理 門診量 而 限制 病人 加號 但是 醫院 門診 照舊 一 診 難 求,64,"{'High': 53, 'Low': 11}","{'第4級': 1, 'Unknown': 13, '第5級': 10, '第1級': 22, '第2級': 7, '第6級': 2, '第4*級': 7, '第1*級': 2}",6,Y,Y
274,衛生署這次實施醫院門診合理量，是對醫院門診在合理數量以內的診察費予以提高，對於超出門診合理數量部分則降低診察費；也就是說每個醫師看診人數超過某個數量時，健保局給付的診察費也會隨之減少。衛生署認為這樣的作法可以減少醫院擴增門診人次的誘因，提高門診就診品質。這項制度並未限制醫院門診就診人次，對於病人的就醫權益不受影響。,衛生署 這 次 實施 醫院 門診 合理量 是 對 醫院 門診 在 合理 數量 以內 的 診察費 予以 提高 對於 超出 門診 合理 數量 部分 則 降低 診察費 也就是說 每 個 醫師 看診 人數 超過 某 個 數量 時 健保局 給付 的 診察費 也 會 隨之 減少 衛生署 認為 這樣 的 作法 可以 減少 醫院 擴增 門診 人次 的 誘因 提高 門診 就診 品質 這 項 制度 並 未 限制 醫院 門診 就診 人次 對於 病人 的 就醫 權益 不 受 影響,82,"{'High': 74, 'Low': 8}","{'Unknown': 13, '第1級': 15, '第2級': 8, '第6級': 7, '第5級': 14, '第1*級': 3, '第4*級': 7, '第4級': 10, '第3*級': 1, '第3級': 3, '第7級': 1}",8,Y,Y
275,各大醫院因為健保合理門診量的實施，大部分採取「不提高掛號費」、「不限制門診人數」、「不減少看診時間」等作法因應，因此並沒有影響民眾的就醫權益。,各 大 醫院 因為 健保 合理 門診量 的 實施 大部分 採取 不 提高 掛號費 不 限制 門診 人數 不 減少 看診 時間 等 作法 因應 因此 並 沒有 影響 民眾 的 就醫 權益,33,"{'High': 30, 'Low': 3}","{'第2級': 2, '第1級': 8, '第1*級': 1, 'Unknown': 4, '第4*級': 6, '第6級': 4, '第5級': 3, '第4級': 2, '第3*級': 1, '第3級': 2}",3,Y,Y
276,北市駐校社工師報名,北市 駐校 社工師 報名,4,"{'High': 2, 'Low': 2}","{'Unknown': 3, '第4級': 1}",1,N,Y
277,【記者林淑美報導】臺北市教育局將甄選五名駐校社工師，今明兩天在琉公國中受理親自或代理報名，預定六日進行筆試，七日口試。洽詢電話是：（○二）二七二六一四八一轉四○。,記者 林淑美 報導 臺北市 教育局 將 甄選 五 名 駐 校 社工師 今 明 兩 天 在 琉公 國中 受理 親自 或 代理 報名 預定 六日 進行 筆試 七日 口試 洽詢 電話 是 二 二七二六一四八一 轉 四,37,"{'High': 31, 'Low': 6}","{'第4級': 3, 'Unknown': 17, '第5級': 6, '第1級': 7, '第2級': 1, '第6級': 1, '第1*級': 1, '第3級': 1}",5,Y,Y
278,北部地方訊息,北部 地方 訊息,3,{'High': 3},"{'第2*級': 1, '第1*級': 1, '第5級': 1}",0,N,Y
279,北縣寒假停辦教師介聘,北縣 寒假 停辦 教師 介聘,5,"{'High': 3, 'Low': 2}","{'Unknown': 3, '第3級': 1, '第4級': 1}",0,N,Y
280,【記者楊昭瑾報導】臺北縣教育局昨天表示，教師申請介聘到外縣市的服務作業，因教育部決議每學年只在暑假辦理一次，因此今年寒假確定不辦理介聘。有意申請介聘的教師，在今年五、六月可多留意縣府教育資源網的訊息。,記者 楊昭瑾 報導 臺北縣 教育局 昨天 表示 教師 申請 介聘 到 外縣市 的 服務 作業 因 教育部 決議 每 學年 只 在 暑假 辦理 一 次 因此 今年 寒假 確定 不 辦理 介聘 有意 申請 介聘 的 教師 在 今年 五 六月 可 多 留意 縣府 教育 資源 網 的 訊息,51,"{'High': 45, 'Low': 6}","{'第4級': 8, 'Unknown': 10, '第5級': 7, '第1級': 11, '第4*級': 3, '第3級': 4, '第2級': 2, '第6級': 1, '第1*級': 4, '第7級': 1}",5,Y,Y
281,中市防止學生沉迷電玩,中市 防止 學生 沉迷 電玩,5,"{'Low': 2, 'High': 3}","{'Unknown': 2, '第5級': 1, '第1級': 1, '第6級': 1}",0,Y,Y
282,【記者張彩鳳報導】經濟部已正式行文臺中市府，指示全面開放商業區設立電子遊藝場政策，臺中市長張溫鷹已經要求學生校外輔導委員會及早擬定因應辦法，輔導學生，避免學生沉迷電玩。,記者 張彩鳳 報導 經濟部 已 正式 行文 臺中 市府 指示 全面 開放 商業區 設立 電子 遊藝場 政策 臺中 市長 張溫鷹 已經 要求 學生 校 外 輔導 委員會 及早 擬定 因應 辦法 輔導 學生 避免 學生 沉迷 電玩,37,"{'High': 32, 'Low': 5}","{'第4級': 3, 'Unknown': 12, '第5級': 6, '第3級': 1, '第3*級': 2, '第7級': 1, '第4*級': 2, '第2級': 2, '第1級': 4, '第6級': 4}",6,Y,Y
283,國中基本學力測驗題型上網,國中 基本 學力 測驗 題型 上網,6,"{'High': 4, 'Low': 2}","{'第4級': 1, '第5級': 1, 'Unknown': 2, '第4*級': 1, '第2*級': 1}",0,N,Y
284,【記者楊惠芳報導】三十萬名國中畢業生都將參加的「國中學生基本學力測驗」，今年三月將首度舉行。教育部昨天公布五科共四百六十一個題例，考生今天起可以上網查詢，,記者 楊惠芳 報導 三十萬 名 國中 畢業生 都 將 參加 的 國中 學生 基本 學力 測驗 今年 三月 將 首度 舉行 教育部 昨天 公布 五 科 共 四百六十一 個 題例 考生 今天 起 可以 上網 查詢,36,"{'High': 32, 'Low': 4}","{'第4級': 4, 'Unknown': 9, '第5級': 7, '第2級': 2, '第1級': 9, '第4*級': 1, '第1*級': 1, '第3*級': 1, '第2*級': 1, '第6級': 1}",5,Y,Y
285,網址是：http://www.bctest.ntnu.edu.tw。,網址 是 httpwwwbctestntnuedutw,3,"{'Low': 2, 'High': 1}","{'Unknown': 2, '第1級': 1}",1,N,Y
286,教育部長曾志朗表示，由於家長、教師沒有充分的資訊，對多元入學及基本學力測驗感到憂慮，教育部特別公布題型的樣本，並放在網站上，希望讓教師、學生、家長了解。,教育部長 曾志朗 表示 由於 家長 教師 沒有 充分 的 資訊 對 多元 入學 及 基本 學力 測驗 感到 憂慮 教育部 特別 公布 題型 的 樣本 並 放 在 網站 上 希望 讓 教師 學生 家長 了解,36,"{'High': 33, 'Low': 3}","{'Unknown': 4, '第4*級': 4, '第4級': 6, '第1級': 6, '第5級': 8, '第2級': 4, '第6級': 1, '第1*級': 1, '第2*級': 1, '第3*級': 1}",3,Y,Y
287,在昨天公布的四百六十一個題例中，國文科有九十五題，英語科八十五題，數學科六十一題，自然科一百題，社會學科一百二十題。,在 昨天 公布 的 四百六十一 個 題例 中 國文科 有 九十五 題 英語科 八十五 題 數學科 六十一 題 自然科 一百 題 社會 學科 一百二十 題,25,"{'High': 15, 'Low': 10}","{'第1*級': 1, '第1級': 4, '第5級': 2, 'Unknown': 12, '第3*級': 6}",9,N,Y
